ක,क,k,ก,ກ,က,ក,ক
ඛ,ख,kh,ข,ຂ,ခ,ខ,খ
ග,ग,g,ค,ຄ,ဂ,គ,গ
ඝ,घ,gh,ฆ,ຆ,ဃ,ឃ,ঘ
ඞ,ङ,ṅ,ง,ງ,င,ង,ঙ
ච,च,c,จ,ຈ,စ,ច,চ
ඡ,छ,ch,ฉ,ຉ,ဆ,ឆ,ছ
ජ,ज,j,ช,ຊ,ဇ,ជ,জ
ඣ,झ,jh,ฌ,ຌ,ဈ,ឈ,ঝ
ඤ,ञ,ñ,ญ,ຎ,ဉ,ញ,ঞ
ට,ट,ṭ,ฏ,ຏ,ဋ,ដ,ট
ඨ,ठ,ṭh,ฐ,ຐ,ဌ,ឋ,ঠ
ඩ,ड,ḍ,ฑ,ຑ,ဍ,ឌ,ড
ඪ,ढ,ḍh,ฒ,ຒ,ဎ,ឍ,ঢ
ණ,ण,ṇ,ณ,ຓ,ဏ,ណ,ণ
ත,त,t,ต,ຕ,တ,ត,ত
ථ,थ,th,ถ,ຖ,ထ,ថ,থ
ද,द,d,ท,ທ,ဒ,ទ,দ
ධ,ध,dh,ธ,ຘ,ဓ,ធ,ধ
න,न,n,น,ນ,န,ន,ন
ප,प,p,ป,ປ,ပ,ប,প
ඵ,फ,ph,ผ,ຜ,ဖ,ផ,ফ
බ,ब,b,พ,ພ,ဗ,ព,ব
භ,भ,bh,ภ,ຠ,ဘ,ភ,ভ
ම,म,m,ม,ມ,မ,ម,ম
ය,य,y,ย,ຍ,ယ,យ,য
ර,र,r,ร,ຣ,ရ,រ,র
ල,ल,l,ล,ລ,လ,ល,ল
ව,व,v,ว,ວ,ဝ,វ,ৰ
ස,स,s,ส,ສ,သ,ស,স
හ,ह,h,ห,ຫ,ဟ,ហ,হ
ළ,ळ,ḷ,ฬ,ຬ,ဠ,ឡ,ল়
අ,अ,a,อ,ອ,အ,អ,অ
ආ,आ,ā,อา,ອາ,အာ,អា,আ
ඉ,इ,i,อิ,ອິ,ဣ,ឥ,ই
ඊ,ई,ī,อี,ອີ,ဤ,ឦ,ঈ
උ,उ,u,อุ,ອຸ,ဥ,ឧ,উ
ඌ,ऊ,ū,อู,ອູ,ဦ,ឩ,ঊ
එ,ए,e,เอ,ເອ,ဧ,ឯ,এ
ඔ,ओ,o,โอ,ໂອ,ဩ,ឱ,ও
ං,ं,ṃ,ํ,ໍ,ံ,ំ,ং
ඃ,ः,ḥ,,,း,ះ,ঃ
්,्,,ฺ,຺,္,្,্
0,०,0,๐,໐,၀,០,০
1,१,1,๑,໑,၁,១,১
2,२,2,๒,໒,၂,២,২
3,३,3,๓,໓,၃,៣,৩
4,४,4,๔,໔,၄,៤,৪
5,५,5,๕,໕,၅,៥,৫
6,६,6,๖,໖,၆,៦,৬
7,७,7,๗,໗,၇,៧,৭
8,८,8,๘,໘,၈,៨,৮
9,९,9,๙,໙,၉,៩,৯
ා,ा,ā,า,າ,ာ,ា,া
ි,ि,i,ิ,ິ,ိ,ិ,ি
ී,ी,ī,ี,ີ,ီ,ី,ী
ු,ु,u,ุ,ຸ,ု,ុ,ু
ූ,ू,ū,ู,ູ,ူ,ូ,ূ
ෙ,े,e,เ,ເ,ေ,េ,ে
ො,ो,o,โ,ໂ,ော,ោ,ো